Project Name,Borough,NTA - Neighborhood Tabulation Area,Income,Rented_vs_Owned,Level of Affordable in Building
LINDSAY PARK.HRP.FY18,Brooklyn,BK90,low,mostly_owned,mostly_affordable
LINDSAY PARK.HRP.FY18,Brooklyn,BK90,low,mostly_owned,mostly_affordable
LINDSAY PARK.HRP.FY18,Brooklyn,BK90,low,mostly_owned,mostly_affordable
LINDSAY PARK.HRP.FY18,Brooklyn,BK90,low,mostly_owned,mostly_affordable
LINDSAY PARK.HRP.FY18,Brooklyn,BK90,low,mostly_owned,mostly_affordable
BRC. 330 EAST 4TH ST. CLYDE BURTON,Manhattan,MN28,very_low,mostly_rented,mostly_affordable
1711 Davidson HDFC,Bronx,BX36,low,mostly_owned,mostly_affordable
MY MICRO NY FKA ADAPT NYC/MICRO UNITS,Manhattan,MN20,low,mostly_rented,mixed_aff_and_stand
1561 WALTON AVENUE,Bronx,BX63,low,mostly_rented,mostly_affordable
East 138 Street,Bronx,BX39,low,mostly_rented,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN61,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN07,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN34,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN34,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN05,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN66,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN08,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN34,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN33,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN66,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Queens,QN66,low,mostly_owned,mostly_affordable
Habitat-NYC Single Family Homes Phase I,Staten Island,SI12,low,mostly_owned,mostly_affordable
605 WEST 42ND ST,Manhattan,MN15,low,mostly_rented,mostly_standard
490 Myrtle Ave.,Brooklyn,BK69,low,mostly_rented,mostly_standard
SOBRO. 988 WASHINGTON AVE. NEW ROADS PLAZA,Bronx,BX35,very_low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK75,low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK42,low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK78,very_low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK69,low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK95,low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK95,low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK68,low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK64,low,mostly_rented,mostly_affordable
FSG DEVELOPMENT FCM - FSG REALTY LLC,Brooklyn,BK64,low,mostly_rented,mostly_affordable
Livonia Commons,Brooklyn,BK85,low,mostly_rented,mostly_affordable
Livonia Commons,Brooklyn,BK85,low,mostly_rented,mostly_affordable
Livonia Commons,Brooklyn,BK85,low,mostly_rented,mostly_affordable
Livonia Commons,Brooklyn,BK85,low,mostly_rented,mostly_affordable
555 Tenth Avenue,Manhattan,MN13,low,mostly_rented,mostly_standard
546 West 44th Street,Manhattan,MN15,low,mostly_rented,mostly_standard
Greenpoint Landing E3,Brooklyn,BK76,moderately_low,mostly_rented,mostly_affordable
GREENPOINT LANDING G2,Brooklyn,BK76,low,mostly_rented,mostly_affordable
365 BOND STREET,Brooklyn,BK33,low,mostly_rented,mostly_standard
L&M HCCI 260 W 153RD STREET,Manhattan,MN03,very_low,mostly_rented,mostly_affordable
